P_net_W,T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
124393670.96,1215.84,24495264.38,2.99,816.37,82.31,0.88,1117.19,280.21
124393670.96,1215.84,24495264.38,2.99,816.37,82.31,0.62,1125.71,308.82
124393670.96,1215.84,24495264.38,2.99,816.37,82.31,0.67,1121.21,271.96
124393670.96,1215.84,24495264.38,2.99,816.37,82.31,1.01,1127.98,296.45
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.7,1177.47,311.49
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.83,1191.43,266.78
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.94,1187.13,306.13
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.55,1174.06,279.89
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.58,1181.22,284.09
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.9,1182.91,293.18
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.74,1185.21,300.41
51990599.01,1250.5,24019029.21,2.88,836.5,58.73,0.98,1174.72,271.3
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.77,936.48,308.98
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.68,935.86,276.4
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.56,941.53,264.69
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.63,948.07,282.74
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.99,940.37,286.01
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.97,931.31,311.29
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.9,928.86,296.52
97934835.59,1032.29,24681246.15,2.81,821.31,83.62,0.84,945.66,300.33
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.76,1139.72,315.25
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.65,1136.13,265.27
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.78,1128.21,289.99
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.92,1131.74,279.67
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.57,1121.99,291.98
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.98,1126.25,275.01
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.91,1124.77,304.91
133113875.6,1225.6,24488816.48,2.85,822.58,85.69,0.53,1133.15,302.65
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.79,1028.42,293.21
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,1.04,1020.92,285.68
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.95,1031.08,311.41
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.9,1033.09,278.12
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.67,1026.05,264.04
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.59,1016.82,275.29
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.74,1015.83,300.84
18249728.3,1115.72,24228494.61,2.94,817.87,81.7,0.52,1022.72,305.74
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.9,927.81,317.42
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.83,934.81,300.04
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.94,932.11,276.76
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.63,941.09,291.67
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,1.0,942.86,282.19
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.53,931.52,308.44
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.66,938.36,268.98
139925765.1,1044.07,24782121.74,2.93,808.64,99.66,0.73,924.73,285.6
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.76,1101.5,274.87
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.82,1114.33,317.47
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.87,1112.06,269.93
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.66,1107.82,281.74
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.95,1116.57,303.62
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.53,1098.5,289.4
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,0.61,1108.27,305.19
30538021.55,1173.63,24524426.07,2.81,819.27,55.79,1.0,1104.1,293.44
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.51,1059.5,276.01
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.59,1041.46,302.4
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.65,1046.28,288.4
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.8,1050.98,279.3
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.89,1055.78,293.27
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,1.0,1057.2,317.41
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.91,1053.18,265.11
94920961.0,1119.37,24974048.51,2.75,825.86,58.2,0.77,1044.74,309.68
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.65,1152.35,301.88
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,1.02,1147.02,316.54
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.92,1142.32,264.3
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.9,1137.93,310.94
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.74,1135.6,287.6
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.78,1148.49,283.49
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.5,1133.91,273.42
141073963.02,1202.82,24818555.43,2.86,803.76,50.28,0.6,1144.81,295.21
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.83,1073.94,275.2
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.75,1061.78,295.13
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.65,1065.26,305.58
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.89,1069.96,266.36
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.93,1063.99,313.89
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,1.01,1076.0,279.04
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.51,1071.53,301.25
91539413.99,1168.41,24000878.36,2.89,848.46,90.91,0.64,1058.0,289.45
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.99,1063.2,267.44
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.85,1058.27,270.59
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.52,1070.51,313.23
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.83,1070.02,309.16
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.72,1066.35,293.76
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.68,1054.37,303.25
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.62,1062.58,280.61
48614633.76,1151.56,24853976.61,2.95,844.8,78.7,0.94,1055.44,287.01
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.72,978.3,277.54
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.59,984.59,296.47
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.92,968.09,309.03
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.55,969.38,276.55
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.83,976.72,315.6
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.7,973.05,302.93
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.89,981.26,263.22
63831861.92,1047.28,24615886.32,2.85,848.01,61.58,0.99,973.4,284.7
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.86,1040.3,270.1
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,1.01,1031.42,315.82
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.8,1035.78,293.4
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.65,1021.19,309.69
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.57,1026.6,301.05
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.52,1028.96,265.24
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.97,1035.22,286.5
30825569.25,1118.6,24165207.95,2.89,830.34,77.96,0.75,1025.17,280.63
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.9,1179.77,283.66
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.63,1174.52,317.01
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.74,1190.68,293.33
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.99,1177.28,307.15
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.51,1182.3,286.61
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.93,1185.24,297.53
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.67,1186.92,265.89
97154816.08,1247.67,24522277.98,2.77,820.35,56.56,0.83,1172.77,274.45
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.94,999.1,279.77
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.81,985.48,302.83
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.85,1003.58,293.92
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.7,990.3,287.17
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.61,1001.4,269.73
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.5,995.32,305.17
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,1.01,993.63,274.09
93805693.84,1060.2,24790116.16,2.91,804.5,55.61,0.76,989.37,315.98
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.97,1193.29,303.99
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,1.0,1200.73,272.94
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.86,1198.35,290.41
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.83,1205.58,290.88
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.55,1202.16,310.42
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.77,1191.5,279.92
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.61,1196.46,315.01
27246273.64,1241.92,24758058.11,2.75,834.93,35.05,0.68,1187.04,263.73
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.53,1064.28,277.14
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.66,1075.54,295.03
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,1.01,1067.9,309.51
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.9,1070.6,267.47
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.97,1072.68,288.29
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.59,1061.5,301.31
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.74,1056.71,272.41
120073545.23,1119.01,24951225.48,2.75,842.63,43.22,0.84,1059.9,312.5
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.83,996.11,315.26
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.96,1007.63,289.85
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.85,999.92,267.84
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,1.04,1014.98,272.27
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.76,1004.24,302.06
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.6,1001.74,310.88
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.67,1009.35,281.65
52805625.66,1077.47,24908658.17,2.85,845.76,62.01,0.52,1011.45,291.16
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,1.05,1144.68,283.23
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.85,1141.81,290.47
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.76,1137.27,301.42
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.5,1139.28,306.26
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.83,1150.07,269.72
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.69,1133.39,270.94
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.93,1147.16,316.12
32655541.34,1185.52,24584541.31,2.89,810.14,32.44,0.62,1150.92,291.01
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.84,1111.2,268.31
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.56,1102.94,312.91
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.85,1098.56,279.34
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,1.01,1101.41,293.12
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.6,1116.23,270.66
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.98,1115.31,301.13
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.75,1106.28,311.22
26023227.0,1190.4,24588965.86,2.92,852.94,72.47,0.68,1109.4,286.69
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,1.01,1129.44,276.55
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.84,1143.53,287.49
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.62,1133.52,301.2
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.8,1136.38,292.23
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.97,1142.13,305.43
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.74,1131.39,316.84
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.55,1146.56,264.69
101687273.85,1230.38,24329480.7,3.0,838.95,82.19,0.68,1138.72,279.09
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.66,1062.42,268.35
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.81,1046.84,274.25
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,1.01,1066.17,311.14
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.62,1056.25,314.35
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.76,1057.56,300.12
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.89,1060.69,287.97
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.5,1049.62,292.24
29170850.91,1115.41,24485864.6,2.75,826.39,48.63,0.96,1052.22,281.04
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.74,1140.53,276.67
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,1.05,1135.11,308.4
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.7,1125.35,265.58
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.91,1134.04,282.52
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.83,1143.75,312.62
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.63,1128.07,286.46
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.52,1139.46,296.0
131002444.41,1217.65,24473962.75,2.93,836.98,72.63,0.92,1132.23,298.7
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.67,1144.17,268.7
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.61,1145.22,292.15
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.53,1153.1,286.65
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,1.03,1138.35,317.77
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.74,1141.42,299.75
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.92,1151.48,304.55
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.85,1149.17,280.96
149708767.66,1205.44,24865481.36,2.85,814.28,50.7,0.83,1135.43,270.45
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.72,953.11,296.06
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.66,955.61,274.9
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.92,949.07,298.0
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.88,943.32,306.86
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.57,947.83,277.87
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,1.02,956.41,284.68
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.52,942.78,269.41
75739370.71,1043.07,24419575.22,3.0,807.82,82.27,0.78,959.9,315.93
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.79,1040.01,299.71
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.53,1055.17,308.23
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.92,1048.56,273.64
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,1.04,1047.21,293.88
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.91,1053.03,277.64
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.66,1042.34,312.92
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.61,1045.67,290.61
124133599.06,1110.9,24563275.18,2.75,845.11,54.96,0.76,1036.22,266.1
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,1.04,1018.05,284.43
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.7,1022.61,298.04
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.55,1029.27,272.06
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.74,1030.85,296.14
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.84,1027.25,307.88
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.86,1020.36,283.13
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.61,1016.57,317.03
49124445.61,1097.92,24755684.1,2.79,800.02,65.38,0.94,1012.96,266.22
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.9,1067.66,289.51
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.77,1084.49,280.06
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,1.02,1074.92,272.56
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.5,1069.9,291.06
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.58,1081.33,306.6
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.7,1082.49,312.46
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.97,1076.78,299.48
81456825.34,1113.64,24287297.29,2.95,800.25,27.27,0.78,1072.52,267.53
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,1.03,974.39,307.66
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.63,965.81,268.52
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.83,962.8,279.23
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.91,982.21,276.39
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.7,978.11,291.86
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.52,972.04,301.76
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.97,976.33,288.42
14352137.39,1078.98,24762962.62,2.94,805.11,96.65,0.71,968.88,313.25
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.87,931.12,275.22
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.69,925.54,279.6
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.52,927.02,265.02
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.77,935.02,295.11
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.63,921.71,308.05
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,1.03,931.54,290.1
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.8,918.1,297.62
58748772.85,1024.96,24964540.04,2.79,828.99,88.6,0.94,920.71,313.93
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.68,960.62,275.69
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.56,959.04,290.94
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.94,947.15,290.46
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.75,953.88,298.1
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.99,956.34,306.94
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.59,949.35,277.8
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.79,963.85,317.2
107768541.32,1046.79,24551538.26,2.94,841.41,80.06,0.87,965.18,266.14
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.82,986.25,316.67
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.7,969.01,269.65
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.6,973.14,299.44
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.96,981.74,276.95
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.71,983.71,274.75
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.88,976.76,307.6
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.99,971.29,289.95
29919391.03,1045.33,24771062.5,2.9,815.26,57.21,0.52,979.03,290.71
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.73,1079.94,286.78
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.57,1073.83,279.77
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.99,1091.29,276.63
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.94,1085.24,299.4
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.88,1076.56,317.01
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.64,1082.78,309.17
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.81,1074.43,293.43
63039932.93,1173.47,24083140.45,2.84,849.81,82.08,0.58,1087.53,265.26
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.72,1110.52,274.55
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.85,1104.23,277.73
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,1.01,1099.99,263.89
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.67,1114.95,297.27
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.82,1107.47,297.74
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.56,1111.2,285.33
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.58,1102.05,310.93
51470216.16,1161.48,24451355.88,2.95,824.06,42.8,0.97,1116.65,314.32
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.79,955.81,300.32
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.96,958.72,309.99
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.72,960.91,290.82
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.99,968.39,278.77
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.85,966.23,265.85
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.57,954.27,290.39
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.7,963.01,317.08
110577350.42,1067.11,24157214.41,2.91,847.05,94.66,0.62,970.06,275.17
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.65,997.82,297.12
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.5,998.58,313.13
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.78,1012.84,272.11
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.98,1002.49,300.56
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.86,993.96,268.43
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.59,1010.18,309.98
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.76,1007.75,284.93
69170280.71,1045.51,24703547.61,2.79,848.7,32.24,0.98,1005.77,280.98
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.78,947.1,277.07
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.56,951.47,307.38
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.7,944.19,302.63
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.91,955.36,288.33
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,1.02,960.11,316.61
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.98,949.23,291.43
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.61,954.25,266.54
61994778.58,1049.05,24554779.76,2.75,848.34,86.39,0.77,962.64,273.98
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.72,1213.04,308.16
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.69,1220.14,299.14
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.9,1225.66,316.1
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.8,1210.98,272.58
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.97,1218.53,291.66
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.63,1222.86,281.2
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,0.55,1213.65,285.6
103244158.81,1256.31,24404679.58,2.9,804.88,30.16,1.01,1208.61,268.3
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.76,1077.21,267.75
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.54,1071.33,313.01
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.99,1069.71,308.71
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.62,1062.07,271.54
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.67,1074.37,282.83
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.82,1063.57,302.65
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.86,1057.67,294.27
17693643.5,1140.76,24984274.37,2.77,812.7,63.24,0.94,1065.25,284.69
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,1.05,1082.19,266.93
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.85,1085.62,295.83
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.73,1091.5,311.09
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.53,1078.85,301.07
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.65,1072.58,316.26
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.64,1088.92,278.32
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.92,1074.73,273.25
98949537.7,1150.47,24919509.14,2.82,808.37,58.47,0.83,1079.79,287.47
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.85,1193.94,284.07
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.76,1188.67,294.34
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.69,1191.12,312.11
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.53,1183.67,282.94
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,1.03,1179.1,302.63
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.63,1182.04,267.66
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.78,1177.76,273.0
48202343.63,1262.77,24669762.05,2.78,812.26,67.33,0.97,1187.0,306.54
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,1.05,1043.71,276.0
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.54,1045.98,307.34
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.86,1040.56,265.74
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.69,1037.47,286.26
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.95,1028.83,280.34
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.72,1034.07,317.64
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.8,1032.59,297.89
120150313.86,1067.58,24855968.87,2.87,822.88,21.18,0.57,1030.73,296.07
45566848.77,1206.05,24572985.16,2.89,841.45,59.52,0.73,1146.22,268.58
45566848.77,1206.05,24572985.16,2.89,841.45,59.52,0.97,1143.88,314.84
