T_in_ref_blk_K,p_high_Pa,PR,T_cold_set_K,delta,load,T_HTF_in_K,T_amb_input_K
1061.13,24875727.97,3.52,348.06,91.72,0.84,1060.87,267.18
1061.13,24875727.97,3.52,348.06,91.72,0.76,1042.18,297.24
1061.13,24875727.97,3.52,348.06,91.72,0.94,1053.65,282.14
1061.13,24875727.97,3.52,348.06,91.72,0.67,1050.66,305.7
1061.13,24875727.97,3.52,348.06,91.72,0.99,1057.48,313.3
1218.12,24390272.14,2.8,335.21,67.32,0.8,1215.75,306.9
1218.12,24390272.14,2.8,335.21,67.32,1.04,1207.05,313.72
1218.12,24390272.14,2.8,335.21,67.32,0.6,1211.79,272.27
1218.12,24390272.14,2.8,335.21,67.32,0.7,1209.06,293.35
1218.12,24390272.14,2.8,335.21,67.32,0.54,1203.39,283.6
1218.12,24390272.14,2.8,335.21,67.32,0.93,1200.22,276.51
1135.9,24459507.49,3.76,328.38,20.17,1.05,1128.74,295.71
1135.9,24459507.49,3.76,328.38,20.17,0.92,1124.77,276.75
1135.9,24459507.49,3.76,328.38,20.17,0.64,1119.35,265.55
1135.9,24459507.49,3.76,328.38,20.17,0.53,1131.78,312.77
1135.9,24459507.49,3.76,328.38,20.17,0.71,1135.24,288.36
1135.9,24459507.49,3.76,328.38,20.17,0.82,1117.07,308.62
1247.19,24551101.8,3.8,260.2,149.96,1.04,1232.76,264.71
1247.19,24551101.8,3.8,260.2,149.96,0.76,1245.88,302.77
1247.19,24551101.8,3.8,260.2,149.96,0.89,1237.4,296.83
1247.19,24551101.8,3.8,260.2,149.96,0.64,1228.23,284.4
1247.19,24551101.8,3.8,260.2,149.96,0.58,1234.71,310.92
1247.19,24551101.8,3.8,260.2,149.96,0.82,1240.74,275.92
1316.25,24903665.45,3.13,336.9,33.2,0.75,1304.85,317.94
1316.25,24903665.45,3.13,336.9,33.2,0.59,1313.63,267.99
1316.25,24903665.45,3.13,336.9,33.2,0.94,1296.61,274.2
1316.25,24903665.45,3.13,336.9,33.2,0.68,1312.58,298.96
1316.25,24903665.45,3.13,336.9,33.2,0.84,1309.36,287.22
1316.25,24903665.45,3.13,336.9,33.2,1.04,1301.58,307.5
1264.24,24477350.37,3.39,308.22,37.08,0.92,1247.86,271.0
1264.24,24477350.37,3.39,308.22,37.08,0.86,1255.56,280.15
1264.24,24477350.37,3.39,308.22,37.08,0.67,1254.13,297.01
1264.24,24477350.37,3.39,308.22,37.08,0.76,1244.31,305.17
1264.24,24477350.37,3.39,308.22,37.08,0.97,1259.96,317.92
1264.24,24477350.37,3.39,308.22,37.08,0.55,1261.28,284.6
1163.0,24602232.48,3.69,339.99,117.25,0.69,1156.49,313.57
1163.0,24602232.48,3.69,339.99,117.25,0.94,1143.39,306.67
1163.0,24602232.48,3.69,339.99,117.25,0.62,1153.95,272.46
1163.0,24602232.48,3.69,339.99,117.25,1.0,1160.51,287.08
1163.0,24602232.48,3.69,339.99,117.25,0.85,1150.09,263.76
1163.0,24602232.48,3.69,339.99,117.25,0.55,1148.17,293.34
1250.8,24033417.9,3.92,270.18,111.8,0.67,1245.8,307.28
1250.8,24033417.9,3.92,270.18,111.8,0.5,1250.12,279.88
1250.8,24033417.9,3.92,270.18,111.8,0.89,1232.16,268.32
1250.8,24033417.9,3.92,270.18,111.8,1.0,1238.61,296.03
1250.8,24033417.9,3.92,270.18,111.8,0.85,1243.23,288.34
1250.8,24033417.9,3.92,270.18,111.8,0.74,1237.41,312.8
1400.3,24267484.62,3.74,306.97,28.39,0.73,1395.24,301.7
1400.3,24267484.62,3.74,306.97,28.39,0.63,1393.34,273.5
1400.3,24267484.62,3.74,306.97,28.39,1.02,1380.64,290.01
1400.3,24267484.62,3.74,306.97,28.39,0.84,1383.96,271.76
1400.3,24267484.62,3.74,306.97,28.39,0.52,1388.5,312.39
1400.3,24267484.62,3.74,306.97,28.39,0.95,1399.03,296.29
1034.83,24691992.81,3.41,304.0,114.57,0.56,1015.88,278.33
1034.83,24691992.81,3.41,304.0,114.57,0.8,1023.36,298.7
1034.83,24691992.81,3.41,304.0,114.57,0.99,1034.4,307.58
1034.83,24691992.81,3.41,304.0,114.57,0.74,1030.77,288.07
1034.83,24691992.81,3.41,304.0,114.57,0.65,1025.51,269.14
1034.83,24691992.81,3.41,304.0,114.57,0.94,1018.83,313.28
1109.45,24040122.86,2.79,268.37,108.91,0.95,1091.32,288.43
1109.45,24040122.86,2.79,268.37,108.91,0.71,1105.48,297.91
1109.45,24040122.86,2.79,268.37,108.91,0.63,1093.08,302.79
1109.45,24040122.86,2.79,268.37,108.91,1.02,1108.57,270.43
1109.45,24040122.86,2.79,268.37,108.91,0.8,1098.46,316.74
1109.45,24040122.86,2.79,268.37,108.91,0.58,1102.32,277.02
1413.74,24752402.62,2.85,264.35,212.31,0.94,1408.86,266.34
1413.74,24752402.62,2.85,264.35,212.31,0.63,1411.1,274.9
1413.74,24752402.62,2.85,264.35,212.31,0.84,1404.38,303.41
1413.74,24752402.62,2.85,264.35,212.31,0.76,1398.05,298.8
1413.74,24752402.62,2.85,264.35,212.31,0.55,1402.97,290.18
1413.74,24752402.62,2.85,264.35,212.31,1.04,1394.38,316.63
1168.26,24302473.06,3.57,263.5,203.94,0.59,1157.09,311.93
1168.26,24302473.06,3.57,263.5,203.94,0.81,1159.32,304.76
1168.26,24302473.06,3.57,263.5,203.94,0.71,1166.28,294.05
1168.26,24302473.06,3.57,263.5,203.94,0.97,1149.6,278.26
1168.26,24302473.06,3.57,263.5,203.94,0.59,1154.68,288.83
1168.26,24302473.06,3.57,263.5,203.94,0.92,1162.41,271.1
1075.2,24080171.28,2.95,326.75,202.31,0.85,1059.23,314.82
1075.2,24080171.28,2.95,326.75,202.31,0.53,1063.84,301.83
1075.2,24080171.28,2.95,326.75,202.31,0.76,1066.96,280.71
1075.2,24080171.28,2.95,326.75,202.31,0.91,1055.29,271.09
1075.2,24080171.28,2.95,326.75,202.31,1.04,1071.25,299.59
1075.2,24080171.28,2.95,326.75,202.31,0.66,1073.76,284.79
1284.72,24378031.54,2.97,270.68,184.64,0.54,1283.92,304.14
1284.72,24378031.54,2.97,270.68,184.64,1.04,1276.36,313.66
1284.72,24378031.54,2.97,270.68,184.64,0.68,1267.68,269.46
1284.72,24378031.54,2.97,270.68,184.64,0.86,1271.72,287.17
1284.72,24378031.54,2.97,270.68,184.64,0.61,1269.01,298.16
1284.72,24378031.54,2.97,270.68,184.64,0.87,1279.4,274.73
1123.91,24313632.13,3.81,280.91,64.83,1.03,1107.36,280.17
1123.91,24313632.13,3.81,280.91,64.83,0.77,1123.5,285.15
1123.91,24313632.13,3.81,280.91,64.83,0.9,1113.53,301.78
1123.91,24313632.13,3.81,280.91,64.83,0.83,1106.09,314.25
1123.91,24313632.13,3.81,280.91,64.83,0.63,1116.78,270.66
1123.91,24313632.13,3.81,280.91,64.83,0.56,1119.66,295.91
1441.91,24763418.76,3.37,326.62,30.77,0.67,1425.83,302.95
1441.91,24763418.76,3.37,326.62,30.77,1.01,1441.12,272.88
1441.91,24763418.76,3.37,326.62,30.77,0.88,1422.73,296.24
1441.91,24763418.76,3.37,326.62,30.77,0.81,1431.48,267.26
1441.91,24763418.76,3.37,326.62,30.77,0.73,1435.03,283.84
1441.91,24763418.76,3.37,326.62,30.77,0.54,1435.73,317.27
1373.91,24485837.95,2.82,275.5,62.22,0.79,1359.82,272.67
1373.91,24485837.95,2.82,275.5,62.22,0.91,1356.79,302.19
1373.91,24485837.95,2.82,275.5,62.22,0.97,1373.71,299.13
1373.91,24485837.95,2.82,275.5,62.22,0.68,1369.33,285.22
1373.91,24485837.95,2.82,275.5,62.22,0.68,1363.24,310.3
1373.91,24485837.95,2.82,275.5,62.22,0.51,1366.08,269.14
1242.66,24246182.5,3.95,294.39,152.3,0.99,1233.91,310.37
1242.66,24246182.5,3.95,294.39,152.3,0.93,1227.34,288.76
1242.66,24246182.5,3.95,294.39,152.3,0.62,1229.55,280.25
1242.66,24246182.5,3.95,294.39,152.3,0.78,1236.11,299.8
1242.66,24246182.5,3.95,294.39,152.3,0.57,1223.54,302.2
1242.66,24246182.5,3.95,294.39,152.3,0.74,1242.66,267.84
1048.94,24297225.14,2.99,319.77,200.57,0.53,1032.84,296.53
1048.94,24297225.14,2.99,319.77,200.57,0.64,1042.05,306.21
1048.94,24297225.14,2.99,319.77,200.57,0.68,1044.86,275.32
1048.94,24297225.14,2.99,319.77,200.57,0.89,1047.26,288.27
1048.94,24297225.14,2.99,319.77,200.57,1.03,1036.77,316.26
1048.94,24297225.14,2.99,319.77,200.57,0.82,1030.32,268.99
1381.18,24218125.37,3.67,285.68,178.35,0.68,1373.16,316.86
1381.18,24218125.37,3.67,285.68,178.35,0.89,1369.71,305.7
1381.18,24218125.37,3.67,285.68,178.35,0.69,1366.15,267.63
1381.18,24218125.37,3.67,285.68,178.35,0.85,1376.73,281.36
1381.18,24218125.37,3.67,285.68,178.35,0.97,1363.23,284.05
1381.18,24218125.37,3.67,285.68,178.35,0.51,1378.85,293.41
1052.16,24738008.04,3.93,336.04,153.41,0.89,1040.29,299.06
1052.16,24738008.04,3.93,336.04,153.41,0.71,1048.51,263.58
1052.16,24738008.04,3.93,336.04,153.41,0.63,1045.42,286.14
1052.16,24738008.04,3.93,336.04,153.41,0.52,1038.24,309.21
1052.16,24738008.04,3.93,336.04,153.41,1.04,1050.72,300.74
1052.16,24738008.04,3.93,336.04,153.41,0.78,1034.93,272.52
1237.71,24772031.52,3.1,304.73,35.39,0.77,1227.51,276.88
1237.71,24772031.52,3.1,304.73,35.39,0.93,1223.73,291.17
1237.71,24772031.52,3.1,304.73,35.39,0.65,1236.45,310.48
1237.71,24772031.52,3.1,304.73,35.39,0.57,1228.33,286.33
1237.71,24772031.52,3.1,304.73,35.39,0.98,1234.01,269.4
1237.71,24772031.52,3.1,304.73,35.39,0.79,1217.77,304.25
1067.6,24961806.66,3.77,320.29,118.83,0.62,1048.38,268.42
1067.6,24961806.66,3.77,320.29,118.83,0.76,1055.92,307.17
1067.6,24961806.66,3.77,320.29,118.83,0.96,1063.74,288.57
1067.6,24961806.66,3.77,320.29,118.83,0.5,1058.17,297.46
1067.6,24961806.66,3.77,320.29,118.83,0.86,1051.77,274.01
1067.6,24961806.66,3.77,320.29,118.83,0.9,1066.27,312.22
1055.55,24071879.12,3.47,314.64,72.59,0.56,1047.7,280.46
1055.55,24071879.12,3.47,314.64,72.59,0.64,1037.62,263.84
1055.55,24071879.12,3.47,314.64,72.59,1.0,1054.72,306.91
1055.55,24071879.12,3.47,314.64,72.59,0.81,1040.45,310.56
1055.55,24071879.12,3.47,314.64,72.59,0.7,1043.29,296.19
1055.55,24071879.12,3.47,314.64,72.59,0.93,1051.89,290.19
1142.99,24380921.3,3.43,331.32,122.9,1.02,1128.95,278.69
1142.99,24380921.3,3.43,331.32,122.9,0.66,1137.8,284.35
1142.99,24380921.3,3.43,331.32,122.9,0.73,1134.93,264.38
1142.99,24380921.3,3.43,331.32,122.9,0.52,1130.13,295.68
1142.99,24380921.3,3.43,331.32,122.9,0.92,1140.19,304.02
1142.99,24380921.3,3.43,331.32,122.9,0.82,1125.14,314.81
1030.99,24402219.03,3.75,287.96,226.03,0.86,1028.6,304.73
1030.99,24402219.03,3.75,287.96,226.03,0.75,1023.11,292.15
1030.99,24402219.03,3.75,287.96,226.03,1.03,1027.42,285.73
1030.99,24402219.03,3.75,287.96,226.03,0.94,1018.35,276.4
1030.99,24402219.03,3.75,287.96,226.03,0.56,1012.29,268.8
1030.99,24402219.03,3.75,287.96,226.03,0.61,1014.47,311.33
1171.52,24358640.32,3.59,338.35,34.78,0.53,1169.43,297.03
1171.52,24358640.32,3.59,338.35,34.78,0.78,1166.48,270.68
1171.52,24358640.32,3.59,338.35,34.78,0.69,1154.03,287.46
1171.52,24358640.32,3.59,338.35,34.78,0.62,1159.0,312.95
1171.52,24358640.32,3.59,338.35,34.78,0.9,1161.8,308.75
1171.52,24358640.32,3.59,338.35,34.78,0.97,1157.1,276.65
1088.26,24237233.92,3.85,305.46,242.31,0.81,1080.86,311.77
1088.26,24237233.92,3.85,305.46,242.31,1.02,1072.02,277.22
1088.26,24237233.92,3.85,305.46,242.31,0.63,1083.46,301.67
1088.26,24237233.92,3.85,305.46,242.31,0.55,1075.44,286.87
1088.26,24237233.92,3.85,305.46,242.31,0.69,1088.23,263.91
1088.26,24237233.92,3.85,305.46,242.31,0.87,1069.38,293.45
1153.8,24341733.6,3.73,292.79,224.41,0.95,1147.07,265.34
1153.8,24341733.6,3.73,292.79,224.41,1.04,1139.51,301.01
1153.8,24341733.6,3.73,292.79,224.41,0.82,1153.74,276.4
1153.8,24341733.6,3.73,292.79,224.41,0.74,1142.89,295.9
1153.8,24341733.6,3.73,292.79,224.41,0.62,1134.45,317.25
1153.8,24341733.6,3.73,292.79,224.41,0.5,1148.89,282.11
1077.91,24515813.81,3.16,262.66,125.42,0.87,1076.07,279.85
1077.91,24515813.81,3.16,262.66,125.42,0.66,1073.07,307.63
1077.91,24515813.81,3.16,262.66,125.42,0.59,1060.92,290.53
1077.91,24515813.81,3.16,262.66,125.42,0.73,1064.66,312.85
1077.91,24515813.81,3.16,262.66,125.42,0.78,1068.13,265.78
1077.91,24515813.81,3.16,262.66,125.42,0.97,1063.31,291.78
1419.66,24107772.11,2.86,279.69,221.68,0.87,1411.51,264.52
1419.66,24107772.11,2.86,279.69,221.68,1.04,1414.48,305.38
1419.66,24107772.11,2.86,279.69,221.68,0.65,1418.23,288.95
1419.66,24107772.11,2.86,279.69,221.68,0.57,1409.01,273.08
1419.66,24107772.11,2.86,279.69,221.68,0.79,1406.24,317.85
1419.66,24107772.11,2.86,279.69,221.68,0.72,1402.26,295.65
1428.1,24567452.11,3.84,329.59,86.33,0.77,1426.49,302.17
1428.1,24567452.11,3.84,329.59,86.33,0.6,1420.26,316.7
1428.1,24567452.11,3.84,329.59,86.33,0.99,1408.71,295.22
1428.1,24567452.11,3.84,329.59,86.33,0.58,1415.81,289.69
1428.1,24567452.11,3.84,329.59,86.33,0.92,1421.66,277.02
1428.1,24567452.11,3.84,329.59,86.33,0.8,1411.92,267.58
1143.6,24881195.1,2.87,268.73,77.9,0.59,1134.68,290.69
1143.6,24881195.1,2.87,268.73,77.9,0.93,1142.7,263.41
1143.6,24881195.1,2.87,268.73,77.9,1.05,1138.44,285.8
1143.6,24881195.1,2.87,268.73,77.9,0.7,1125.22,272.9
1143.6,24881195.1,2.87,268.73,77.9,0.61,1127.79,312.59
1143.6,24881195.1,2.87,268.73,77.9,0.83,1131.92,301.56
1223.04,24113931.63,2.8,299.11,133.69,0.99,1209.62,278.28
1223.04,24113931.63,2.8,299.11,133.69,0.86,1204.39,308.85
1223.04,24113931.63,2.8,299.11,133.69,0.89,1211.9,317.95
1223.04,24113931.63,2.8,299.11,133.69,0.75,1220.98,289.01
1223.04,24113931.63,2.8,299.11,133.69,0.66,1215.69,270.88
1223.04,24113931.63,2.8,299.11,133.69,0.51,1218.21,297.1
1290.9,24189378.04,3.15,332.02,69.73,0.7,1276.83,281.7
1290.9,24189378.04,3.15,332.02,69.73,1.04,1278.78,305.28
1290.9,24189378.04,3.15,332.02,69.73,0.67,1284.65,292.19
1290.9,24189378.04,3.15,332.02,69.73,0.56,1281.27,313.12
1290.9,24189378.04,3.15,332.02,69.73,0.85,1289.54,264.97
1290.9,24189378.04,3.15,332.02,69.73,0.92,1274.01,279.39
1283.19,24663343.83,2.92,294.9,236.69,0.61,1273.87,294.86
1283.19,24663343.83,2.92,294.9,236.69,1.0,1277.1,282.75
1283.19,24663343.83,2.92,294.9,236.69,0.91,1273.11,302.89
1283.19,24663343.83,2.92,294.9,236.69,0.51,1266.28,269.49
1283.19,24663343.83,2.92,294.9,236.69,0.74,1267.99,316.16
1283.19,24663343.83,2.92,294.9,236.69,0.8,1282.13,275.47
1200.4,24869263.09,3.22,306.22,144.14,0.79,1194.41,290.7
1200.4,24869263.09,3.22,306.22,144.14,0.59,1199.53,275.95
1200.4,24869263.09,3.22,306.22,144.14,0.88,1187.0,308.26
1200.4,24869263.09,3.22,306.22,144.14,0.68,1191.72,313.28
1200.4,24869263.09,3.22,306.22,144.14,0.71,1182.87,265.38
1200.4,24869263.09,3.22,306.22,144.14,0.98,1189.45,290.1
1310.25,24204208.85,3.6,300.43,74.75,0.73,1303.95,286.5
1310.25,24204208.85,3.6,300.43,74.75,0.67,1292.42,276.83
1310.25,24204208.85,3.6,300.43,74.75,0.79,1301.21,263.74
1310.25,24204208.85,3.6,300.43,74.75,0.89,1293.74,309.52
1310.25,24204208.85,3.6,300.43,74.75,0.53,1298.18,305.47
1310.25,24204208.85,3.6,300.43,74.75,0.97,1308.43,296.0
1341.96,24669989.1,3.49,290.39,92.37,0.79,1336.85,277.49
1341.96,24669989.1,3.49,290.39,92.37,0.52,1322.01,268.92
1341.96,24669989.1,3.49,290.39,92.37,0.72,1341.88,298.92
1341.96,24669989.1,3.49,290.39,92.37,0.87,1327.1,305.11
1341.96,24669989.1,3.49,290.39,92.37,0.6,1329.17,288.26
1341.96,24669989.1,3.49,290.39,92.37,1.01,1334.74,314.9
1251.27,24364407.93,2.98,302.38,49.75,0.65,1241.55,268.7
1251.27,24364407.93,2.98,302.38,49.75,0.96,1234.14,297.45
1251.27,24364407.93,2.98,302.38,49.75,0.92,1248.85,283.79
1251.27,24364407.93,2.98,302.38,49.75,0.57,1238.76,309.09
1251.27,24364407.93,2.98,302.38,49.75,0.75,1245.99,307.63
1251.27,24364407.93,2.98,302.38,49.75,0.81,1234.66,275.84
1106.14,24825550.88,3.89,283.61,242.39,0.57,1105.17,300.11
1106.14,24825550.88,3.89,283.61,242.39,0.84,1089.97,314.53
1106.14,24825550.88,3.89,283.61,242.39,0.96,1096.9,292.54
1106.14,24825550.88,3.89,283.61,242.39,0.99,1099.95,273.63
1106.14,24825550.88,3.89,283.61,242.39,0.66,1088.48,264.55
1106.14,24825550.88,3.89,283.61,242.39,0.69,1096.03,283.43
1268.97,24849718.55,3.64,251.27,175.69,0.73,1256.32,274.55
1268.97,24849718.55,3.64,251.27,175.69,1.04,1260.01,287.65
1268.97,24849718.55,3.64,251.27,175.69,0.87,1254.49,304.71
1268.97,24849718.55,3.64,251.27,175.69,0.56,1251.8,293.67
1268.97,24849718.55,3.64,251.27,175.69,0.85,1268.19,312.07
1268.97,24849718.55,3.64,251.27,175.69,0.68,1265.2,265.98
1326.38,24540234.79,3.68,286.86,97.64,0.57,1316.24,305.11
1326.38,24540234.79,3.68,286.86,97.64,0.62,1306.89,310.67
1326.38,24540234.79,3.68,286.86,97.64,0.93,1321.73,273.69
1326.38,24540234.79,3.68,286.86,97.64,0.74,1316.5,290.49
1326.38,24540234.79,3.68,286.86,97.64,1.03,1311.02,271.41
1326.38,24540234.79,3.68,286.86,97.64,0.81,1325.13,297.05
1378.29,24620061.69,3.17,250.29,173.65,0.78,1358.75,293.45
1378.29,24620061.69,3.17,250.29,173.65,0.69,1361.64,312.21
1378.29,24620061.69,3.17,250.29,173.65,0.98,1372.24,274.4
1378.29,24620061.69,3.17,250.29,173.65,0.62,1375.45,263.98
1378.29,24620061.69,3.17,250.29,173.65,0.87,1370.83,307.91
1378.29,24620061.69,3.17,250.29,173.65,0.51,1366.41,283.65
1037.62,24987981.16,3.09,331.71,26.52,0.96,1036.91,291.98
1037.62,24987981.16,3.09,331.71,26.52,0.51,1033.35,315.71
1037.62,24987981.16,3.09,331.71,26.52,1.03,1022.49,278.26
1037.62,24987981.16,3.09,331.71,26.52,0.8,1030.12,305.46
1037.62,24987981.16,3.09,331.71,26.52,0.63,1026.02,284.67
1037.62,24987981.16,3.09,331.71,26.52,0.74,1018.3,270.14
1214.9,24009897.34,3.79,317.69,207.41,0.75,1212.14,268.43
1214.9,24009897.34,3.79,317.69,207.41,0.65,1197.82,280.32
1214.9,24009897.34,3.79,317.69,207.41,0.83,1210.37,306.27
1214.9,24009897.34,3.79,317.69,207.41,0.53,1205.62,299.36
1214.9,24009897.34,3.79,317.69,207.41,0.95,1204.79,284.42
1214.9,24009897.34,3.79,317.69,207.41,0.96,1198.37,309.07
1102.99,24253269.81,3.97,342.11,130.04,0.94,1090.74,284.13
1102.99,24253269.81,3.97,342.11,130.04,0.67,1093.73,276.82
1102.99,24253269.81,3.97,342.11,130.04,1.02,1098.53,299.14
1102.99,24253269.81,3.97,342.11,130.04,0.86,1083.58,265.6
1102.99,24253269.81,3.97,342.11,130.04,0.75,1101.78,310.34
1102.99,24253269.81,3.97,342.11,130.04,0.56,1089.14,305.69
1298.1,24968863.01,3.72,309.11,52.81,0.65,1292.06,271.89
1298.1,24968863.01,3.72,309.11,52.81,0.7,1291.1,310.59
1298.1,24968863.01,3.72,309.11,52.81,0.8,1280.3,281.9
1298.1,24968863.01,3.72,309.11,52.81,1.04,1286.03,274.68
1298.1,24968863.01,3.72,309.11,52.81,0.88,1297.24,292.99
1298.1,24968863.01,3.72,309.11,52.81,0.52,1283.27,304.32
1219.99,24944062.79,3.35,253.31,232.04,0.75,1216.42,266.57
1219.99,24944062.79,3.35,253.31,232.04,0.53,1209.57,289.2
1219.99,24944062.79,3.35,253.31,232.04,0.8,1211.09,317.54
1219.99,24944062.79,3.35,253.31,232.04,0.97,1202.69,304.12
1219.99,24944062.79,3.35,253.31,232.04,0.9,1203.8,273.36
1219.99,24944062.79,3.35,253.31,232.04,0.67,1216.94,291.23
1080.63,24397578.39,3.3,257.18,88.81,0.62,1071.77,290.48
1080.63,24397578.39,3.3,257.18,88.81,0.99,1068.81,294.17
1080.63,24397578.39,3.3,257.18,88.81,0.82,1065.93,268.86
1080.63,24397578.39,3.3,257.18,88.81,0.56,1063.93,316.67
1080.63,24397578.39,3.3,257.18,88.81,0.73,1079.97,299.91
1080.63,24397578.39,3.3,257.18,88.81,0.93,1075.09,274.51
1280.21,24424299.84,3.26,318.75,147.01,0.66,1276.08,298.21
1280.21,24424299.84,3.26,318.75,147.01,0.73,1277.29,265.72
1280.21,24424299.84,3.26,318.75,147.01,0.51,1271.29,279.75
1280.21,24424299.84,3.26,318.75,147.01,0.95,1262.61,286.66
1280.21,24424299.84,3.26,318.75,147.01,1.03,1268.91,306.41
1280.21,24424299.84,3.26,318.75,147.01,0.8,1266.53,317.14
1148.77,24225255.31,3.22,278.2,188.01,0.81,1148.52,286.26
1148.77,24225255.31,3.22,278.2,188.01,0.62,1143.9,277.63
1148.77,24225255.31,3.22,278.2,188.01,0.93,1130.53,316.39
1148.77,24225255.31,3.22,278.2,188.01,0.53,1136.21,271.67
1148.77,24225255.31,3.22,278.2,188.01,1.04,1140.8,301.18
1148.77,24225255.31,3.22,278.2,188.01,0.76,1132.26,297.59
1241.32,24124006.14,2.9,327.97,210.49,0.77,1236.49,317.47
1241.32,24124006.14,2.9,327.97,210.49,0.64,1222.59,294.44
1241.32,24124006.14,2.9,327.97,210.49,0.97,1232.96,275.61
1241.32,24124006.14,2.9,327.97,210.49,0.87,1230.27,301.98
1241.32,24124006.14,2.9,327.97,210.49,0.51,1225.42,263.57
1241.32,24124006.14,2.9,327.97,210.49,0.78,1239.07,287.14
1062.62,24255934.03,3.11,344.32,89.24,1.03,1053.16,306.36
1062.62,24255934.03,3.11,344.32,89.24,0.84,1052.43,269.04
1062.62,24255934.03,3.11,344.32,89.24,0.92,1061.32,287.95
1062.62,24255934.03,3.11,344.32,89.24,0.6,1056.67,290.75
1062.62,24255934.03,3.11,344.32,89.24,0.73,1048.14,309.79
1062.62,24255934.03,3.11,344.32,89.24,0.57,1043.15,273.47
1354.12,24810008.56,2.84,277.51,176.97,0.62,1334.33,301.9
1354.12,24810008.56,2.84,277.51,176.97,1.0,1340.47,285.62
1354.12,24810008.56,2.84,277.51,176.97,0.8,1352.65,263.6
1354.12,24810008.56,2.84,277.51,176.97,0.9,1345.07,313.23
1354.12,24810008.56,2.84,277.51,176.97,0.52,1343.97,278.06
1354.12,24810008.56,2.84,277.51,176.97,0.76,1349.03,295.76
1165.92,24995231.06,3.15,338.69,122.11,0.58,1147.84,265.58
1165.92,24995231.06,3.15,338.69,122.11,0.81,1165.77,292.78
1165.92,24995231.06,3.15,338.69,122.11,0.92,1156.46,290.22
1165.92,24995231.06,3.15,338.69,122.11,1.02,1150.62,312.11
1165.92,24995231.06,3.15,338.69,122.11,0.65,1159.6,302.68
1165.92,24995231.06,3.15,338.69,122.11,0.77,1153.69,273.83
1437.29,24336437.79,3.19,343.34,167.83,0.68,1423.8,311.75
1437.29,24336437.79,3.19,343.34,167.83,0.53,1433.27,267.57
1437.29,24336437.79,3.19,343.34,167.83,0.81,1436.51,279.67
1437.29,24336437.79,3.19,343.34,167.83,0.73,1425.34,287.99
1437.29,24336437.79,3.19,343.34,167.83,0.95,1428.28,292.87
1437.29,24336437.79,3.19,343.34,167.83,0.99,1419.97,308.95
1205.22,24782484.39,3.98,296.7,136.94,1.01,1185.69,285.14
1205.22,24782484.39,3.98,296.7,136.94,0.57,1201.66,305.85
1205.22,24782484.39,3.98,296.7,136.94,0.94,1203.22,267.55
1205.22,24782484.39,3.98,296.7,136.94,0.65,1192.54,298.41
1205.22,24782484.39,3.98,296.7,136.94,0.83,1189.82,311.63
1205.22,24782484.39,3.98,296.7,136.94,0.75,1197.52,277.11
1457.55,24324444.4,3.9,321.54,44.78,0.66,1450.99,308.46
1457.55,24324444.4,3.9,321.54,44.78,0.8,1456.76,264.11
1457.55,24324444.4,3.9,321.54,44.78,0.54,1446.1,291.03
1457.55,24324444.4,3.9,321.54,44.78,0.77,1443.13,278.46
1457.55,24324444.4,3.9,321.54,44.78,0.89,1449.96,316.0
1457.55,24324444.4,3.9,321.54,44.78,1.03,1440.87,289.83
1094.46,24093539.68,3.5,315.72,148.71,0.98,1078.05,276.96
1094.46,24093539.68,3.5,315.72,148.71,0.96,1074.65,312.68
1094.46,24093539.68,3.5,315.72,148.71,0.57,1093.21,304.61
1094.46,24093539.68,3.5,315.72,148.71,0.66,1085.25,298.9
1094.46,24093539.68,3.5,315.72,148.71,0.8,1082.32,270.63
1094.46,24093539.68,3.5,315.72,148.71,0.75,1090.11,282.69
1056.29,24490617.89,3.83,274.98,59.27,0.72,1040.59,266.37
1056.29,24490617.89,3.83,274.98,59.27,0.65,1043.65,293.31
1056.29,24490617.89,3.83,274.98,59.27,0.78,1046.31,315.98
1056.29,24490617.89,3.83,274.98,59.27,0.99,1052.76,301.24
1056.29,24490617.89,3.83,274.98,59.27,0.94,1037.77,284.3
1056.29,24490617.89,3.83,274.98,59.27,0.53,1054.19,276.45
1228.84,24148626.86,3.63,269.79,112.06,0.63,1211.02,297.07
1228.84,24148626.86,3.63,269.79,112.06,1.02,1212.48,263.67
1228.84,24148626.86,3.63,269.79,112.06,0.95,1224.06,274.92
1228.84,24148626.86,3.63,269.79,112.06,0.8,1227.34,314.63
1228.84,24148626.86,3.63,269.79,112.06,0.53,1217.99,308.89
1228.84,24148626.86,3.63,269.79,112.06,0.75,1218.84,287.16
1132.91,24500859.34,3.0,324.92,76.48,0.84,1128.33,287.42
1132.91,24500859.34,3.0,324.92,76.48,0.56,1114.33,309.37
1132.91,24500859.34,3.0,324.92,76.48,0.96,1123.09,307.5
1132.91,24500859.34,3.0,324.92,76.48,0.76,1120.21,299.27
1132.91,24500859.34,3.0,324.92,76.48,0.67,1130.81,265.05
1132.91,24500859.34,3.0,324.92,76.48,0.93,1118.71,279.54
1099.04,24583092.88,3.48,265.6,180.84,0.67,1088.48,284.71
1099.04,24583092.88,3.48,265.6,180.84,0.78,1084.06,316.15
1099.04,24583092.88,3.48,265.6,180.84,0.92,1092.28,266.68
1099.04,24583092.88,3.48,265.6,180.84,0.53,1097.0,274.81
